Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,710,South Africa,ZAF,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,300,,,,26,,658,,,0
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,826,United Kingdom,GBR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,4,,,0
H4,2016,2016,2016,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,29,,,,20,,718,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,17182,,,,18287,,41055,,,6
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,56,Belgium,BEL,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,8,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,76,Brazil,BRA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3,,,,3,,69,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,124,Canada,CAN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,1,,,,1,,24,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,156,China,CHN,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,7710,,,,9600,,23108,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,410,Rep. of Korea,KOR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,380,,,,380,,2922,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,528,Netherlands,NLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,3,,,,129,,331,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,620,Portugal,PRT,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,9046,,,,8156,,14411,,,6
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,826,United Kingdom,GBR,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,34,,,,14,,33,,,0
H4,2017,2017,2017,4,0,1,Import,24,Angola,AGO,842,USA,USA,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,4,,,,3,,145,,,0
No data matches your query or your query is too complex. Request JSON or XML format for more information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H3,2017,2017,2017,4,0,1,Import,28,Antigua and Barbuda,ATG,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics.",8,Weight in kilograms,15,,,,15,,158,,,0
